provider_id,provider_type,provider_name,organization_name,specialty,city,state,zip3,accepting_new_patients,source_system
PRV0001,PRACTITIONER,Dr. Maya Chen,Summit Orthopedic Group,Orthopedic Surgery,Summit,NJ,079,True,PROVIDER_DIRECTORY
PRV0002,PRACTITIONER,Dr. Aaron Patel,Newark Orthopedic Group,Orthopedic Surgery,Newark,NJ,071,True,PROVIDER_DIRECTORY
PRV0003,PRACTITIONER,Dr. Elena Rossi,Jersey City Orthopedic Group,Orthopedic Surgery,Jersey City,NJ,073,True,PROVIDER_DIRECTORY
PRV0004,PRACTITIONER,Dr. Daniel Kim,Morristown Orthopedic Group,Orthopedic Surgery,Morristown,NJ,079,True,PROVIDER_DIRECTORY
PRV0005,PRACTITIONER,Dr. Priya Shah,Hackensack Orthopedic Group,Orthopedic Surgery,Hackensack,NJ,076,True,PROVIDER_DIRECTORY
PRV0006,PRACTITIONER,Dr. Michael Green,Montclair Orthopedic Group,Orthopedic Surgery,Montclair,NJ,070,True,PROVIDER_DIRECTORY
PRV0007,PRACTITIONER,Dr. Laura Adams,Paramus Orthopedic Group,Orthopedic Surgery,Paramus,NJ,076,True,PROVIDER_DIRECTORY
PRV0008,PRACTITIONER,Dr. Samuel Lee,Edison Orthopedic Group,Orthopedic Surgery,Edison,NJ,088,True,PROVIDER_DIRECTORY
PRV0009,PRACTITIONER,Dr. Nina Brooks,Summit Orthopedic Group,Orthopedic Surgery,Summit,NJ,079,True,PROVIDER_DIRECTORY
PRV0010,PRACTITIONER,Dr. Thomas Reed,Newark Orthopedic Group,Orthopedic Surgery,Newark,NJ,071,True,PROVIDER_DIRECTORY
PRV0011,PRACTITIONER,Dr. Sofia Martin,Jersey City Orthopedic Group,Orthopedic Surgery,Jersey City,NJ,073,True,PROVIDER_DIRECTORY
PRV0012,PRACTITIONER,Dr. Kevin Clark,Morristown Orthopedic Group,Orthopedic Surgery,Morristown,NJ,079,True,PROVIDER_DIRECTORY
PRV0013,PRACTITIONER,Dr. Alice Morgan,Jersey City Eye Associates,Ophthalmology,Jersey City,NJ,073,True,PROVIDER_DIRECTORY
PRV0014,PRACTITIONER,Dr. Ryan Park,Morristown Eye Associates,Ophthalmology,Morristown,NJ,079,True,PROVIDER_DIRECTORY
PRV0015,PRACTITIONER,Dr. Grace Liu,Hackensack Eye Associates,Ophthalmology,Hackensack,NJ,076,True,PROVIDER_DIRECTORY
PRV0016,PRACTITIONER,Dr. Omar Hassan,Montclair Eye Associates,Ophthalmology,Montclair,NJ,070,True,PROVIDER_DIRECTORY
PRV0017,PRACTITIONER,Dr. Emily Stone,Paramus Eye Associates,Ophthalmology,Paramus,NJ,076,True,PROVIDER_DIRECTORY
PRV0018,PRACTITIONER,Dr. Victor Cruz,Edison Eye Associates,Ophthalmology,Edison,NJ,088,True,PROVIDER_DIRECTORY
PRV0019,PRACTITIONER,Dr. Primary 1,Newark Primary Care,Primary Care,Newark,NJ,071,True,PROVIDER_DIRECTORY
PRV0020,PRACTITIONER,Dr. Primary 2,Jersey City Primary Care,Primary Care,Jersey City,NJ,073,True,PROVIDER_DIRECTORY
PRV0021,PRACTITIONER,Dr. Primary 3,Morristown Primary Care,Primary Care,Morristown,NJ,079,True,PROVIDER_DIRECTORY
