plan_id,provider_id,network_status,effective_date,termination_date,last_verified_date,source_system
SYN-MA-HMO-01,PRV0001,IN_NETWORK,2026-01-01,,2026-08-20,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0002,IN_NETWORK,2026-01-01,,2026-08-20,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0003,OUT_OF_NETWORK,2026-01-01,,2026-04-10,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0004,IN_NETWORK,2026-01-01,,2026-07-08,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0005,IN_NETWORK,2026-01-01,,2026-05-29,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0006,IN_NETWORK,2026-01-01,,2026-05-25,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0007,IN_NETWORK,2026-01-01,,2026-04-18,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0008,IN_NETWORK,2026-01-01,,2026-04-25,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0009,IN_NETWORK,2026-01-01,,2026-04-28,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0010,IN_NETWORK,2026-01-01,,2026-08-13,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0011,IN_NETWORK,2026-01-01,,2026-03-24,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0012,IN_NETWORK,2026-01-01,,2026-05-04,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0013,IN_NETWORK,2026-01-01,,2026-08-20,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0014,UNKNOWN,2026-01-01,,2026-04-01,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0015,IN_NETWORK,2026-01-01,,2026-08-04,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0016,IN_NETWORK,2026-01-01,,2026-08-27,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0017,IN_NETWORK,2026-01-01,,2026-03-29,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0018,IN_NETWORK,2026-01-01,,2026-04-13,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0019,IN_NETWORK,2026-01-01,,2026-05-15,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0020,OUT_OF_NETWORK,2026-01-01,,2026-07-13,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0021,IN_NETWORK,2026-01-01,,2026-04-08,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0022,IN_NETWORK,2026-01-01,,2026-04-09,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0023,IN_NETWORK,2026-01-01,,2026-08-26,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0024,IN_NETWORK,2026-01-01,,2026-05-25,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0025,IN_NETWORK,2026-01-01,,2026-03-25,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0026,IN_NETWORK,2026-01-01,,2026-08-13,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0027,OUT_OF_NETWORK,2026-01-01,,2026-08-24,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0028,IN_NETWORK,2026-01-01,,2026-07-28,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0029,IN_NETWORK,2026-01-01,,2026-07-02,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0030,IN_NETWORK,2026-01-01,,2026-05-20,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0031,IN_NETWORK,2026-01-01,,2026-05-10,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0032,IN_NETWORK,2026-01-01,,2026-04-01,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0033,IN_NETWORK,2026-01-01,,2026-04-05,PROVIDER_NETWORK_CONTRACTING
SYN-MA-HMO-01,PRV0034,IN_NETWORK,2026-01-01,,2026-08-12,PROVIDER_NETWORK_CONTRACTING
